Run,WCSS,Connectivity,Hypervolume
1,97.63301374316649,10.743253968253965,2.622240655822172
2,97.81510717077805,13.773412698412695,3.368119598006491
3,100.14301213312133,19.090079365079365,4.779345123698492
4,97.79421074929877,13.773412698412695,3.367400060414108
5,97.43534532635209,17.111904761904757,4.168260874169593
6,98.07614793303105,17.111904761904757,4.195674257111274
7,98.08237715880563,18.89087301587301,4.632154330004913
8,98.92549610312173,22.349206349206344,5.5272658140156965
9,99.53526541803848,23.019841269841265,5.72821502668693
10,98.92005995239995,20.619841269841267,5.099289836554179
